일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계,month,조식메뉴_Main,중식메뉴_Main,석식메뉴_Main
2016-02-18,목,2601,77,254,367,0.0,모닝롤/인절미토스트 우유/두유/주스 계란후라이 계란후라이  선지해장국  톳두부무침 포기김치  ,낙지비빔밥  유부장국 고구마치즈구이 해초무침 요구르트 요구르트 포기김치  ,쌀밥/잡곡밥  순두부찌개 명태조림  감자채볶음 쌈만두 포기김치  ,910.0,489.0,2,톳두부무침,요구르트,쌈만두
2016-02-19,금,2601,145,252,69,0.0,모닝롤/씨크립샌드 우유/두유/주스 계란후라이 밤죽/쌀밥  홍합탕 오이생채 포기김치  ,쌀밥/잡곡밥  대구찌개 마늘간장치킨  새송이버섯볶음 돌나물무침/치킨무 요구르트 포기김치  ,쌀밥/잡곡밥  설렁탕  김치전  야채스틱 바나나 석박지  ,763.0,597.0,2,오이생채,새송이버섯볶음,설렁탕
2016-02-22,월,2601,90,207,434,0.0,모닝롤/팬케익 우유/주스 계란후라이 브로컬리죽/쌀밥  고추장찌개 시금치나물 포기김치  ,쌀밥/오곡밥  쇠고기느타리국 갈치구이 호박꼬지&고사리&무나물 파래김*양념장 부럼/요구르트 포기김치  ,쌀밥/잡곡밥  옹심이만두국 떡갈비조림 청포묵무침 부추오이생채 포기김치  ,1298.0,645.0,2,브로컬리죽,고사리,부추오이생채
2016-02-23,화,2601,57,237,488,0.0,모닝롤/야채샌드 우유/주스 계란후라이 닭죽/쌀밥  재첩국 참나물땅콩가루무침 포기김치  ,쌀밥/잡곡밥  콩나물국 돈육간장볶음 버섯잡채 꽃상추무침 요구르트 포기김치  ,쌀밥/잡곡밥  콩비지찌개 해물까스&타르타르소스 볶음쌀국수 미역레몬초무침 통배추겉절이  ,899.0,610.0,2,참나물땅콩가루무침,꽃상추무침,볶음쌀국수
2016-02-24,수,2601,54,232,14,0.0,모닝롤/꿀호떡 우유/주스 계란후라이 김치죽/쌀밥  무채국 애호박나물 포기김치  ,비빔밥  팽이장국 소세지피망볶음 맛탕 귤 요구르트 포기김치  ,쌀밥/잡곡밥  열무된장국 매운돼지갈비찜 멸치호두볶음 숙주나물 포기김치  ,1022.0,514.0,2,애호박나물,맛탕,멸치호두볶음
2016-02-25,목,2601,56,261,335,0.0,모닝롤/크로와상 우유/주스 계란후라이 쇠고기죽/쌀밥  봄동된장국 어묵볶음 포기김치  ,쌀밥/잡곡밥  북어계란국 닭갈비 새싹두부구이 곰피초장 요구르트 포기김치  ,김밥  잔치국수 교자만두  멕시칸샐러드 무피클 포기김치  ,917.0,531.0,2,봄동된장국,곰피초장,교자만두
2016-02-26,금,2601,144,278,42,0.0,모닝롤/에그샌드 우유/주스 계란후라이 밤죽/쌀밥  꽃게탕 시래기조림 포기김치  ,쌀밥/잡곡밥  수제비국 오징어볶음 계란찜 도라지초무침 요구르트 포기김치  ,쌀밥/잡곡밥  닭개장 삼치구이 꽃맛살볶음 청경채사과무침 포기김치  ,766.0,585.0,2,밤죽,도라지초무침,청경채사과무침
2016-02-29,월,2601,595,168,110,0.0,모닝롤/프렌치토스트 우유/두유/주스 계란후라이 호두죽/쌀밥  콩나물김치국 곰피초장 포기김치  ,쌀밥/잡곡밥  얼갈이된장국 제육볶음 늙은호박전 치커리생채 요구르트 포기김치  ,쌀밥/잡곡밥  버섯들깨탕 꽁치한마리구이 두부양념조림 구이김 포기김치  ,869.0,344.0,2,곰피초장,치커리생채,구이김
2016-03-02,수,2624,127,182,261,0.0,모닝롤/단팥빵 우유/두유/주스 계란후라이 참치야채죽/쌀밥  올갱이아욱국 오이무침 포기김치  ,쌀밥/잡곡밥  쇠고기미역국 주꾸미볶음 맛살계란말이 아삭고추무침 포기김치  ,쌀밥/잡곡밥  된장찌개 버섯불고기 콩나물겨자채 양념깻잎지 포기김치  ,1127.0,631.0,3,올갱이아욱국,맛살계란말이,콩나물겨자채
2016-03-03,목,2624,61,224,351,0.0,모닝롤/바나나샌드 우유/두유/주스 계란후라이 팥죽/쌀밥  피바지락국 가지볶음 포기김치  ,쌀밥/잡곡밥  근대된장국 탕수육 새송이버섯조림 무생채 요구르트 포기김치  ,멸치주먹밥  우동 떡볶이 군고구마 단무지 포기김치  ,1000.0,473.0,3,가지볶음,새송이버섯조림,군고구마
2016-03-04,금,2624,83,247,79,0.0,모닝롤/사과파이 우유/두유/주스 계란후라이 야채죽/쌀밥  시금치국 볼어묵볶음 포기김치  ,쌀밥/잡곡밥  부대찌개 가자미튀김 메추리알조림 열무된장나물 깍두기  ,쌀밥/잡곡밥  오징어국 미트볼조림 옥수수전 부추생채 포기김치  ,837.0,673.0,3,볼어묵볶음,열무된장나물,미트볼조림
2016-03-07,월,2624,50,195,456,0.0,모닝롤/브라우니 우유/두유/주스 계란후라이 땅콩죽/쌀밥  무채국 쑥갓무침 포기김치  ,쌀밥/잡곡밥  콩나물국 닭갈비  모둠묵*양념장 톳두부무침 포기김치  ,쌀밥/잡곡밥  대구찌개 돈육굴소스볶음 감자채볶음 물파래무침 포기김치  ,1326.0,625.0,3,쑥갓무침,모둠묵,대구찌개
2016-03-08,화,2624,47,212,426,0.0,모닝롤/고구마샌드 우유/두유/주스 계란후라이 새송이죽/쌀밥  호박젓국찌개 유채나물 포기김치  ,쌀밥/잡곡밥  차돌박이찌개  고등어김치말이 소세지구이 풋마늘초무침 깍두기  ,카레덮밥  가쯔오장국 수제고로케*케찹 과일샐러드 오복지 포기김치  ,1026.0,609.0,3,유채나물,소세지구이,카레덮밥
2016-03-09,수,2624,43,225,0,0.0,모닝롤/롤케익 우유/두유/주스 계란후라이 단호박죽/쌀밥  어묵국 김자반 포기김치  ,쌀밥/잡곡밥  북어국 돈육장조림  홍어무침 시금치나물 포기김치  ,쌀밥/잡곡밥  육개장 생선까스*탈탈소스 야채계란찜 콩나물무침 포기김치  ,901.0,523.0,3,롤케익,홍어무침,야채계란찜
2016-03-10,목,2624,55,245,290,0.0,모닝롤/햄치즈샌드 우유/두유/주스 계란후라이 녹두죽/쌀밥  냉이된장국 명엽채무침 포기김치  ,쌀밥/잡곡밥  고추장찌개 닭데리야끼조림 해물파전 취나물 포기김치  ,볶음밥  짬뽕 개성감자만두 타코야끼 꼬들단무지 포기김치  ,847.0,525.0,3,냉이된장국,닭데리야끼조림,개성감자만두
2016-03-11,금,2624,108,275,76,0.0,모닝롤/찐빵 우유/두유/주스 계란후라이 고구마죽/쌀밥  재첩국 검정콩조림 포기김치  ,쌀밥/잡곡밥  배추된장국 수제돈가스  탕평채 쫄면무침 포기김치  ,쌀밥/잡곡밥  연두부탕 코다리무조림 고추잡채*꽃빵 봄동겉절이 포기김치  ,728.0,591.0,3,재첩국,수제돈가스,코다리무조림
2016-03-14,월,2624,61,183,376,0.0,모닝롤/롤케이크 우유/주스 계란후라이 흑임자죽/쌀밥  황태국 미역줄기볶음 포기김치  ,쌀밥/잡곡밥  어묵국 돈육고추장볶음  모둠양채쌈*쌈장 콩나물파채무침 포기김치  ,쌀밥/잡곡밥  달래된장찌개 간장찜닭  통도라지구이 참나물생채 포기김치  ,1286.0,586.0,3,롤케이크,모둠양채쌈,달래된장찌개
2016-03-15,화,2624,38,231,399,0.0,모닝롤/에그샌드 우유/주스 계란후라이 해물죽/쌀밥  쇠고기무국 브로컬리들깨찜 포기김치  ,쌀밥/잡곡밥  쑥국 소불고기  골뱅이무침*소면 마늘쫑볶음 포기김치  ,짜장잡채덮밥  계란파국 참치야채전 꽃맛살샐러드 오이무침 포기김치  ,958.0,545.0,3,쇠고기무국,쑥국,짜장잡채덮밥
2016-03-16,수,2624,50,213,0,0.0,모닝롤/치즈프레즐 우유/주스 계란후라이 홍게살죽/쌀밥  시래기국 느타리호박볶음 포기김치  ,곤드레밥  콩나물김치국 미니채소떡갈비  두부계란부침 무나물 포기김치  ,쌀밥/잡곡밥  뼈해장국  해물청경채볶음 버섯메밀전 야채스틱*쌈장 포기김치  ,998.0,531.0,3,느타리호박볶음,두부계란부침,버섯메밀전
2016-03-17,목,2624,52,242,327,0.0,모닝롤/베이컨샌드 우유/주스 계란후라이 브로컬리죽/쌀밥  오징어국 숙주나물 포기김치  ,쌀밥/잡곡밥  사골우거지국  탕수어 파래김*양념장 깻순나물 깍두기  ,토마토스파게티  양송이스프 미니햄버거  단호박범벅 무피클/음료 포기김치  ,832.0,548.0,3,브로컬리죽,깻순나물,양송이스프
2016-03-18,금,2624,118,277,57,0.0,모닝롤/크로와상 우유/주스 계란후라이 표고버섯죽/쌀밥  들깨미역국 방풍나물 포기김치  ,쌀밥/잡곡밥  시금치국 훈제오리구이 연근땅콩조림 쌈무/부추생채 포기김치  ,쌀밥/잡곡밥  닭곰탕  임연수찜 어묵곤약볶음 돌나물초장 석박지  ,757.0,521.0,3,방풍나물,연근땅콩조림,돌나물초장
2016-03-21,월,2624,65,205,329,0.0,모닝롤/마늘빵 우유/주스 계란후라이 김치죽/쌀밥  무채국 김실파무침 포기김치  , 쌀밥/잡곡밥  꽃게탕 버섯불고기  계란말이 도토리묵무침 포기김치  ,쌀밥/잡곡밥  수제비국 아귀콩나물찜 새송이버섯볶음 봄동겉절이 포기김치  ,1030.0,605.0,3,김실파무침,도토리묵무침,아귀콩나물찜
2016-03-22,화,2624,41,208,378,0.0,모닝롤/씨크립샌드 우유/주스 계란후라이 참치야채죽/쌀밥  선지해장국  브로컬리초장 포기김치  , 쌀밥/잡곡밥  쇠고기샤브국  코다리강정 두부&김치볶음 유채나물 깍두기  ,굴소스파인볶음밥  가쯔오장국 찹쌀순대볶음 궁중떡찜 두반장가지나물 포기김치  ,917.0,585.0,3,브로컬리초장,두부,굴소스파인볶음밥
2016-03-23,수,2624,42,236,0,0.0,모닝롤/카스텔라 우유/주스 계란후라이 새송이버섯죽/쌀밥  근대국 쑥갓두부무침 포기김치  , 콩나물밥*달래장  맑은국 치킨텐더*요거트D  땅콩조림 실곤약초무침 포기김치  ,쌀밥/잡곡밥  알탕 동그랑땡전 마파두부  시금치나물 포기김치  ,963.0,544.0,3,새송이버섯죽,치킨텐더,알탕
2016-03-24,목,2624,53,251,293,0.0,모닝롤/토마토샌드 우유/주스 계란후라이 밤죽/쌀밥  순두부국 크랜베리멸치볶음 포기김치  , 쌀밥/잡곡밥  북어계란국 쇠고기장조림  오징어초무침 시래기나물 포기김치  ,참치회덮밥  미소장국 군만두 콘샐러드 바나나 포기김치  ,876.0,507.0,3,순두부국,시래기나물,군만두
2016-03-25,금,2624,98,275,59,0.0,모닝롤/와플 우유/주스 계란후라이 견과류죽/쌀밥  콩나물국 진미채무침 포기김치  , 쌀밥/잡곡밥  닭개장  자반고등어구이  비엔나볶음 열무나물 배추겉절이  ,쌀밥/잡곡밥  냉이된장찌개 누룽지탕수육  감자채볶음 청경채무침 포기김치  ,861.0,523.0,3,견과류죽,자반고등어구이,냉이된장찌개
2016-03-28,월,2624,77,197,299,0.0,모닝롤/프렌치토스트 우유/주스 계란후라이 새우살죽/쌀밥  두부김치국 미역레몬초무침 포기김치  , 쌀밥/잡곡밥  얼갈이된장국 닭갈비 해파리냉채 취나물 포기김치  ,쌀밥/잡곡밥  콩비지찌개 유산슬 해물까스*탈탈소스 도라지나물 포기김치  ,1193.0,637.0,3,미역레몬초무침,해파리냉채,도라지나물
2016-03-29,화,2624,52,245,259,0.0,모닝롤/참치샌드 우유/주스 계란후라이 야채죽/쌀밥  쇠고기버섯국 오이무침 포기김치  , 쌀밥/잡곡밥  옹심이만두국 주꾸미볶음 새송이버섯전 치커리유자청생채 포기김치  ,햄볶음밥  유부장국 돈육씨앗강정 해초무침 깨찰빵 포기김치  ,892.0,465.0,3,쇠고기버섯국,옹심이만두국,깨찰빵
2016-03-30,수,2624,48,230,0,0.0,모닝롤/핫도그 우유/주스 계란후라이 닭죽/쌀밥  감자국 참나물무침 포기김치  , 봄새싹비빔밥  쪽파국 오징어튀김 알감자버터구이 오렌지 포기김치  ,쌀밥/잡곡밥  어묵국 등갈비김치찜 청포묵무침 애호박나물 깍두기  ,1033.0,463.0,3,참나물무침,봄새싹비빔밥,애호박나물
2016-03-31,목,2624,36,248,158,0.0,모닝롤/단팥빵 우유/주스 계란후라이 늙은호박죽/쌀밥  바지락쑥국 마늘쫑무침 포기김치  , 쌀밥/잡곡밥  매운콩나물국 돈육굴소스볶음 동태전 봄동나물 포기김치  ,주먹밥  잔치국수 또띠아피자 과일샐러드 오이피클 포기김치  ,781.0,526.0,3,바지락쑥국,봄동나물,주먹밥
2016-04-01,금,2643,103,254,47,0.0,모닝롤/야채샌드 우유/주스 계란후라이 녹두죽/쌀밥  민물새우찌개 구이김 포기김치  , 쌀밥/잡곡밥  버섯들깨탕 갈치조림 우엉잡채 아삭고추무침 포기김치  ,쌀밥/잡곡밥  쇠고기미역국 순살깐풍기 계란찜 숙주미나리나물 포기김치  ,661.0,591.0,4,구이김,버섯들깨탕,숙주미나리나물
2016-04-04,월,2643,62,221,367,0.0,모닝롤/팬케익 우유/두유/주스 계란후라이 잣죽/쌀밥  근대국 마늘쫑무침 포기김치  ,쌀밥/잡곡밥  순두부찌개 쇠불고기 브로컬리맛살볶음 풋마늘초무침 포기김치  ,쌀밥/잡곡밥  된장찌개 고등어조림 고기전 부추생채 포기김치  ,1237.0,614.0,4,마늘쫑무침,브로컬리맛살볶음,고등어조림
2016-04-05,화,2643,31,242,370,0.0,모닝롤/단호박샌드 우유/두유/주스 계란후라이 양송이죽/쌀밥  두부젓국찌개 미역줄기볶음 포기김치  ,쌀밥/잡곡밥  북어국 오징어볶음*소면 모둠소시지구이 시금치나물 포기김치  ,김치볶음밥  가쯔오장국 감자치즈구이 꽃맛살샐러드 단무지 깍두기  ,840.0,555.0,4,두부젓국찌개,모둠소시지구이,감자치즈구이
2016-04-06,수,2643,37,249,0,0.0,모닝롤/치즈프레즐 우유/두유/주스 계란후라이 팥죽/쌀밥  꽃게탕 방풍나물 포기김치  ,쌀밥/잡곡밥  올갱이아욱국 제육볶음 두부조림 모둠쌈*쌈장 포기김치  ,쌀밥/잡곡밥  매운버섯국 찜닭 탕평채 청경채생채 포기김치  ,876.0,492.0,4,방풍나물,올갱이아욱국,찜닭
2016-04-07,목,2643,47,258,339,0.0,모닝롤/치킨샌드 우유/두유/주스 계란후라이 흑임자죽/쌀밥  열무된장국 진미채무침 포기김치  ,쌀밥/잡곡밥  어묵국 매운돼지갈비찜 해물파전 무생채 포기김치  ,김밥  우동 야채튀김 조각사과 오복지 포기김치  ,853.0,524.0,4,치킨샌드,매운돼지갈비찜,조각사과
2016-04-08,금,2643,87,283,64,0.0,모닝롤/브라우니 우유/두유/주스 계란후라이 고구마죽/쌀밥  대구찌개 콩조림 포기김치  ,쌀밥/잡곡밥  배추된장국 순살양념치킨 메추리알조림 콩나물무침 포기김치  ,쌀밥/잡곡밥  오징어국 미니함박 멸치호두볶음 치커리사과무침 포기김치  ,764.0,542.0,4,콩조림,순살양념치킨,멸치호두볶음
2016-04-11,월,2643,82,203,392,0.0,모닝롤/마늘빵 우유/두유/주스 계란후라이 견과류죽/쌀밥  고추장찌개 김자반 포기김치  ,쌀밥/잡곡밥  시래기국 훈제오리구이  무쌈/양파절임 풋마늘초무침 포기김치  ,쌀밥/잡곡밥  쇠고기무국  가자미찜 계란야채말이 돌나물오이무침 포기김치  ,1225.0,536.0,4,견과류죽,풋마늘초무침,계란야채말이
2016-04-12,화,2643,76,225,239,0.0,모닝롤/씨크립샌드 우유/두유/주스 계란후라이 쇠고기죽/쌀밥  얼갈이된장국 감자채볶음 포기김치  ,쌀밥/잡곡밥  부대찌개 쇠고기단호박조림  열무나물 시금치나물 포기김치  ,치킨마요덮밥  유부주머니국 떡볶이 단무지무침 오렌지 포기김치  ,771.0,500.0,4,얼갈이된장국,쇠고기단호박조림,치킨마요덮밥
2016-04-14,목,2643,106,252,326,0.0,모닝롤/에그샌드 우유/두유/주스 계란후라이 브로컬리죽/쌀밥  황태국 콩나물무침 포기김치  ,쌀밥/잡곡밥  수제비국 돈육굴소스볶음  양배추쌈 무생채 포기김치  ,비빔밥  팽이버섯장국 새우또띠아 견과류조림 피크닉 포기김치  ,969.0,562.0,4,브로컬리죽,수제비국,비빔밥
2016-04-15,금,2643,131,281,82,0.0,모닝롤/크로와상 우유/두유/주스 계란후라이 새우살죽/쌀밥  재첩국 시금치나물 포기김치  ,쌀밥/잡곡밥  냉이된장찌개 닭데리야끼조림  도라지초무침 콩나물무침 포기김치  ,쌀밥/잡곡밥  들깨미역국 수제돈가스 감자범벅 참나물생채 포기김치/무피클  ,579.0,582.0,4,재첩국,냉이된장찌개,수제돈가스
2016-04-18,월,2643,81,225,330,0.0,모닝롤/꿀호떡 우유/주스 계란후라이 흑임자죽/쌀밥  감자국 오이무침 포기김치  ,쌀밥/잡곡밥  배추된장국 돈육강정 콩나물잡채 브로컬리두부무침 포기김치  ,쌀밥/잡곡밥  꽃게탕 유산슬 야채계란찜 두반장가지나물 포기김치  ,1120.0,525.0,4,오이무침,브로컬리두부무침,두반장가지나물
2016-04-19,화,2643,44,239,387,0.0,모닝롤/토마토샌드 우유/주스 계란후라이 표고버섯죽/쌀밥  콩나물국 곤약어묵볶음 포기김치  ,쌀밥/잡곡밥  육개장 꽁치한마리구이 고기전 해초무침 포기김치  ,낙지비빔밥 유부장국 새싹피자 과일샐러드 꼬들단무지 포기김치  ,980.0,449.0,4,곤약어묵볶음,꽁치한마리구이,낙지비빔밥
2016-04-20,수,2643,47,262,0,0.0,모닝롤/베이글 우유/주스 계란후라이 홍게살죽/쌀밥 김치국 느타리볶음 포기김치  ,콩나물밥 근대된장국 매콤떡갈비조림 청포묵무침 부추생채 포기김치  ,쌀밥/잡곡밥 어묵국 닭볶음탕 새송이버섯전 시금치나물 포기김치  ,849.0,504.0,4,김치국,매콤떡갈비조림,새송이버섯전
2016-04-21,목,2643,66,264,312,0.0,모닝롤/고구마샌드 우유/주스 계란후라이 늙은호박죽/쌀밥  선지해장국 비름나물 포기김치  ,쌀밥/잡곡밥  대구매운탕 쇠고기볶음 옥수수전 청경채생채 포기김치  ,오므라이스  팽이버섯국 해물까스*탈탈소스 쫄면무침 바나나/피클 포기김치  ,940.0,531.0,4,늙은호박죽,쇠고기볶음,팽이버섯국
2016-04-22,금,2643,150,275,86,0.0,모닝롤/카스텔라 우유/주스 계란후라이 고구마죽/쌀밥  아욱국 숙주나물 포기김치  ,쌀밥/잡곡밥  북어국 등갈비김치찜 연근조림 깻잎양념지 열무김치  ,쌀밥/잡곡밥  순두부찌개 탕수어 꽃맛살볶음 취나물땅콩무침 포기김치  ,698.0,557.0,4,아욱국,깻잎양념지,취나물땅콩무침
2016-04-25,월,2643,96,201,281,0.0,모닝롤/프렌치토스트 우유/주스 계란후라이 땅콩죽/쌀밥  차돌박이찌개 김구이 포기김치  ,쌀밥/잡곡밥  콩나물국 돈간장불고기 김치전 버섯볶음 포기김치  ,쌀밥/잡곡밥  알탕 순살깐풍기 모둠묵*양념장 세발나물 포기김치  ,1227.0,528.0,4,차돌박이찌개,돈간장불고기,모둠묵
2016-04-26,화,2643,51,227,304,0.0,모닝롤/베이컨샌드 우유/주스 계란후라이 녹두죽/쌀밥  연두부탕 열무나물 포기김치  ,쌀밥/잡곡밥  쇠고기무국 주꾸미볶음 치즈계란말이 풋마늘대무침 포기김치  ,짜장덮밥 맑은국 쇠고기퀘사디아 오이무침 요플레/단무지 포기김치  ,795.0,568.0,4,열무나물,치즈계란말이,짜장덮밥
2016-04-27,수,2643,71,234,0,0.0,모닝롤/와플 우유/주스 계란후라이 닭죽/쌀밥  매운어묵국 감자채볶음 포기김치  ,나물비빔밥  미소장국 궁중떡찜 알감자버터구이 유기농식혜 배추겉절이  ,쌀밥/잡곡밥  청국장찌개 코다리무조림 비엔나케찹볶음 참나물 포기김치  ,1028.0,490.0,4,매운어묵국,궁중떡찜,코다리무조림
2016-04-28,목,2643,56,269,196,0.0,모닝롤/롤케익 우유/주스 계란후라이 표고버섯죽/쌀밥  우거지해장국 마늘쫑볶음 포기김치  ,쌀밥/잡곡밥  미역국 양념파닭 동그랑땡부침 콩자반/치킨무 포기김치  ,참치주먹밥  비빔메밀국수 가쯔오장국 탕수만두 오렌지 포기김치  ,811.0,508.0,4,마늘쫑볶음,동그랑땡부침,비빔메밀국수
2016-04-29,금,2643,139,282,28,0.0,모닝롤/야채햄샌드 우유/주스 계란후라이 김치죽/쌀밥  우렁살된장국 진미채무침 포기김치  ,쌀밥/잡곡밥  돈육김치찌개 미트볼조림 고등어카레구이 치커리사과무침 깍두기  ,쌀밥/잡곡밥  들깨버섯탕 고추잡채*꽃빵 두부계란구이 시금치초장무침 포기김치  ,652.0,507.0,4,야채햄샌드,고등어카레구이,두부계란구이
2016-05-02,월,2635,80,214,302,0.0,모닝롤/마늘빵 우유/주스 계란후라이 야채죽/쌀밥  호박젓국찌개 김자반 포기김치  ,쌀밥/잡곡밥  시금치국 닭갈비 맛살겨자채 비름나물 포기김치  ,쌀밥/잡곡밥  북어국 고추장불고기 모듬양채쌈 날치알계란찜 포기김치  ,1242.0,551.0,5,호박젓국찌개,맛살겨자채,모듬양채쌈
2016-05-03,화,2635,65,251,292,0.0,모닝롤/옥수수샌드 우유/주스 계란후라이 팥죽/쌀밥  재첩국 오이도라지무침 포기김치  ,곤드레밥  무채국 모둠장조림 온두부 실곤약초무침 볶은김치  ,쌀밥/잡곡밥  부대찌개*라면사리 탕수육 삼치구이 미역줄기볶음 열무김치  ,964.0,515.0,5,오이도라지무침,볶은김치,라면사리
2016-05-04,수,2635,150,244,0,0.0,모닝롤/찐빵 우유/주스 계란후라이 밤죽/쌀밥  콩나물김치국 브로컬리들깨찜 포기김치  ,쌀밥/잡곡밥  쇠고기샤브국 오징어볶음 동태전 무생채 포기김치  ,카레덮밥 미소장국 수제미니햄버거 오이소박이 사과/오렌지쥬스 포기김치  ,723.0,636.0,5,콩나물김치국,동태전,수제미니햄버거
2016-05-09,월,2635,101,233,344,0.0,모닝롤/팬케익 우유/주스 계란후라이 호두죽/쌀밥  들깨미역국 진미채무침 포기김치  ,쌀밥/잡곡밥  매운어묵국 훈제오리구이 무쌈/양파절임 도토리묵무침 포기김치  ,쌀밥/잡곡밥  닭개장 가자미튀김 모둠소시지구이 오이무침 포기김치  ,1216.0,591.0,5,호두죽,매운어묵국,모둠소시지구이
2016-05-10,화,2635,53,252,350,0.0,모닝롤/에그샌드 우유/주스 계란후라이 브로컬리죽/쌀밥  근대국 감자채볶음 포기김치  ,쌀밥/잡곡밥  콩나물국 버섯불고기 오징어초무침 시금치나물 포기김치  ,김치볶음밥/계란  가쯔오국 찹쌀순대볶음 감자만두 바나나 포기김치  ,1008.0,519.0,5,브로컬리죽,오징어초무침,가쯔오국
2016-05-11,수,2635,60,266,0,0.0,모닝롤/크로와상 우유/주스 계란후라이 홍게살죽/쌀밥  느타리버섯국 호박나물 포기김치  ,단호박영양밥  시래기된장국 돈육칠리강정 멸치크랜베리볶음 가지나물 포기김치  ,쌀밥/잡곡밥  콩비지찌개 해물누룽지탕 치즈계란말이 양념깻잎지 열무김치  ,915.0,423.0,5,호박나물,멸치크랜베리볶음,치즈계란말이
